RId,Text,Rating
wPhaFcmUdvyH9HnbY_AdlA,"Lolita is hot, it's sexy, and it's down with the times. Everything about this restaurant screams Pinterest dream board if you want a cute, instagramable...",5
GVKIdgGUtgTbcUW2azpv7A,"Overpriced but yummy food and drinks. We've just done takeout and haven't dined at the restaurant. They have the typical Back Bay snot attitude, which is so...",4
xxH-d_kfWO-rHO2QBlaR2Q,"Although due to COVID we had to sit outside and it was raining, I still enjoyed it. I got an Agua Fresca to drink, elote corn, mushroom empanadas, and a...",5
IPj0G8aWi7yXcEgZEJcYoQ,"This was a nice little find off the beaten path. 

Made reservations here for brunch as I had a friend coming in from out of town. My friend really likes...",5
R-q0PKRDozYQKs7iP4IPsQ,I am so glad this place is open for indoor dining during covid. I got a reservation on the same day (surprisingly). We ordered off the brunch menu: chicken...,5
rmkumsPZlTMGM97nwvme4g,"Great modern mexican restaurant with a good vibe and menu of shareable plates. 

The food is really good, inside (pre-covid) is spacious and beautifully...",4
64YwS9b2Uz6guX6vHf9APQ,"Ordered take out.
Lobster roll lived up to the hype. Warm butter accentuated the lobster flavor and didn't overpower it. Lobster had the perfect texture and...",5
_z60CCHc7JR875XmyG_xMQ,"A+

FYI - they are serving out of Met Bar's patio on Newbury St, which is a lovely place to dine outdoors.

My wife and I had been meaning to try this place...",5
Bzkq-4GHYzyD1nCgLb2-3w,"Review for Seafood pizza only - new addition to the menu
Very unique and atypical, which makes it fantastic. 

Jonah crab is more similar to a white pizza....",5
V22fR7tC-IrD90ro2OkuQQ,Came here with a friend for a drink on the first night it opened. There was an employee waiting to greet us at the door we did a quick covid questionnaire...,5
2j1k-9ubj1xf7zvqgy_ohg,"Stopped here for the drinks and their cheeseburger.  I had got there right at opening time at 4:00 pm.  This place is in a basement, just so you know,...",5
nzmR40mxtUsTF42JejCImQ,"Lovely drinks and atmosphere but frequently insane wait times (even after being ""seated"" inside). Back in February, I waited around an hour to get in, then...",4
G3BKxIf-ZP0A8WCJAQx8Og,A newer spot in back bay that is good for a casual chic date night - dimmed light and counter/side by side seatings create a relaxed and intimate ambiance....,4
-ce06sMCGn-F4YyKq_hKTg,"Drinks and food were okay, a bit on the pricier side. Service was okay as well. I ordered a cup of their clam chowder and found it to be a too watery,...",3
AyriYNj2fZ9L1g_3KBNqaQ,"All dishes were on par.  

Lobster roll was bland, needed strong mayo and some acid, lemon.  Bun was doughy, not enough butter or any.  $28 is not cheap for...",3
v_E3K1n4Y1A6OwXfEUxPzw,FANTASTIC. Loved everything about Wink and Nod! Went on a Thursday night and our party of 6 was seated pretty quickly considering how busy it was. The...,5
H9QgxTxVU3IbQ6r5CFNVZA,"Great cocktails! A cool bar that's a little hidden. It's quite dark inside, has lots of booths and a small
Bar with stools to sit. On a Friday night, it was...",5
duVkBHwwnmLDUEoT5tOXgA,"The whiskey are so good here!! It's definitely a place if you want to grab good whiskey. The decor and ambiance is great. 

The only con I had was the food....",3
yY0X5WBo-_S5RVs7R6vdOg,"I came here for brunch during the random 60 degree December Sunday this year. We had an outside table with a time limit of 90 minutes. Unfortunately,...",5
zQRsB91Tj8YAPATW98M4Tg,"Warm Honey Glazed Biscuits - $14
2 Fried Chicken Sliders - $14
Fresh Fried Beignets - $10
Frozen Voodoo - $14
Brisket Boudin Croquettes - $9
Nashville Hot...",5
uXYgBCTAcvY5d3ZJO0wddw,Buttermilk & Bourbon is my favorite restaurant in Boston in 2020. Went up to Boston for my birthday in late October. It was a bit too cold to eat outside so...,5
m-vV7fgW9MmFVga5FzJNLg,"I've reviewed the Cambridge location (RIP) but it's time to give the Back Bay location some love as well. 
This was one of the last Boston restaurants I ate...",5
WiJXYBLLo2Tn2IsrQrlemw,I've been here a few times but never bothered writing a review. I came here during COVID the other day. I needed a good dinner and this was one of the few...,5
u-zrMdL6Jx5aTDlcSLfigg,"Just wanted to update my review since I hadn't since COVID. Was so sad to hear their other location closed, and just want to reassert that this place is the...",5
NcFoTJ-g4HQP9k8HZ6NQGw,LUCIE drink + dine is an excellent addition to the neighborhood. Very cool and unique. Everything I have ever bought here has been fresh and tastes...,5
nI-QP4hg78JEKv6TNIPXTA,I LOVE that Lucie is now part of the neighborhood. I live around the corner & I feel like it's exactly what we've been missing. The drink menu is AWESOME &...,5
liVqH-YxTZ6ity5TeCW9ZA,"I went to Lucie last night and it definitely lived up to my expectations! Everyone from the hostesses to the bartenders, servers, and managers seemed very...",5
JtyWzLkWf_a5CcmhReOu_g,"Stumbled upon this place during quarantine while liking for a good Mac and cheese!

I have never visited The restaurant before but in case anyone is like...",5
M_zZ8Hon1prM0viOx9sroA,This was one of the few places open late near our hotel during the pandemic. It is walking distance from the harbor. There was indoor and outdoor seating so...,5
3NNp9kHoB1hFkBO4yo-A7g,"First of all, let me say this review is not 5 star because we have all been living in a pandemic....it's truly a 5 star experience with or without a...",5
FAkIDzUcCuyVHJlo8UDrIA,The tapas at Barcelona cannot be rivaled! I am glad Barcelona is offering take-out during COVID to remain safe. Ordering take-out online through their...,5
MOI1uQmtcVVUL4DDAcNZUw,"What a perfect night! Sitting on the outside patio with sangria in hand, tasting delicious octopus and jamon really sent me back to Spain and pre-pandemic...",5
p0YKXKfbGLCQTs_n-upPNw,This was the last place I ate it before quarantine and it did not disappoint. The place slowly gets packed after 6:30PM. The ambiance is very nice and the...,5
laiBbbPPqJuttPl1jDGUdQ,"Best place for brunch! I love coming up to Boston for brunch at the Beehive! They have great food, drinks and atmosphere. When it is not Covid times they...",5
-v2RvN9dk_ui2Q0w7PAiHA,Had a great brunch at the Beehive! Got the coffee cake and the shakshuka and both were super good. All of the tables were decently separated and all of the...,5
GpXlfK_sYK369A5cXugwFg,"Located in the middle of the downtown in a cute place. Social distancing very much practiced. Nice seating outside, there are some seats inside for the...",5
8SPCWXDnULYkwMHMkaSJIQ,"Posting a little late from back when it was still warm enough to eat outside, but I'm definitely pumped for the next time I can come back! This place has...",5
_zO2XktLiM6hNwWXNZh63g,We stopped here for an afternoon beer and they did not disappoint! We got the nachos with pork which were layered really well (v important when it comes to...,5
NaJNN66pRojtU3Pf5fX7wQ,"Fun bar, great brunch, really good mimosa bloody Mary's and the food was spot on . Really good service very responsible during these COVID times that make...",5
PpJyuqol-w3pEr8EDgWOyg,"Last night @yvonnesboston First time trying this well recommended place in downtown Boston. The best part is the well designed ambience. And, they follow...",5
JPa4r8tX3tYjcR6Mj5yHuA,"One of my personnel favorite dinner spots in Boston! A bit hard to find, so make sure to search up the place if it's your first time (you have to turn right...",5
nlTOqfaO06eU8OiXP6yhng,Chose to celebrate our anniversary here on a Tuesday evening and so glad we did! Everything was amazing. The ambience and and service were spectacular. Even...,5
