id,RId,Text,Rating
u51e3gychuqBYNqe2xG6_w,wPhaFcmUdvyH9HnbY_AdlA,"Lolita is hot, it's sexy, and it's down with the times. Everything about this restaurant screams Pinterest dream board if you want a cute, instagramable...",5.0
u51e3gychuqBYNqe2xG6_w,GVKIdgGUtgTbcUW2azpv7A,"Overpriced but yummy food and drinks. We've just done takeout and haven't dined at the restaurant. They have the typical Back Bay snot attitude, which is so...",4.0
u51e3gychuqBYNqe2xG6_w,xxH-d_kfWO-rHO2QBlaR2Q,"Although due to COVID we had to sit outside and it was raining, I still enjoyed it. I got an Agua Fresca to drink, elote corn, mushroom empanadas, and a...",5.0
jIxhHWqxKd5ZWBIEmsFxWQ,IPj0G8aWi7yXcEgZEJcYoQ,"This was a nice little find off the beaten path. 

Made reservations here for brunch as I had a friend coming in from out of town. My friend really likes...",5.0
jIxhHWqxKd5ZWBIEmsFxWQ,R-q0PKRDozYQKs7iP4IPsQ,I am so glad this place is open for indoor dining during covid. I got a reservation on the same day (surprisingly). We ordered off the brunch menu: chicken...,5.0
jIxhHWqxKd5ZWBIEmsFxWQ,rmkumsPZlTMGM97nwvme4g,"Great modern mexican restaurant with a good vibe and menu of shareable plates. 

The food is really good, inside (pre-covid) is spacious and beautifully...",4.0
sA2gVTJOBH7Qk32p48ENdQ,64YwS9b2Uz6guX6vHf9APQ,"Ordered take out.
Lobster roll lived up to the hype. Warm butter accentuated the lobster flavor and didn't overpower it. Lobster had the perfect texture and...",5.0
sA2gVTJOBH7Qk32p48ENdQ,_z60CCHc7JR875XmyG_xMQ,"A+

FYI - they are serving out of Met Bar's patio on Newbury St, which is a lovely place to dine outdoors.

My wife and I had been meaning to try this place...",5.0
sA2gVTJOBH7Qk32p48ENdQ,Bzkq-4GHYzyD1nCgLb2-3w,"Review for Seafood pizza only - new addition to the menu
Very unique and atypical, which makes it fantastic. 

Jonah crab is more similar to a white pizza....",5.0
rcn3L8ZeQebdG0K1RSRKXQ,V22fR7tC-IrD90ro2OkuQQ,Came here with a friend for a drink on the first night it opened. There was an employee waiting to greet us at the door we did a quick covid questionnaire...,5.0
rcn3L8ZeQebdG0K1RSRKXQ,2j1k-9ubj1xf7zvqgy_ohg,"Stopped here for the drinks and their cheeseburger.  I had got there right at opening time at 4:00 pm.  This place is in a basement, just so you know,...",5.0
rcn3L8ZeQebdG0K1RSRKXQ,nzmR40mxtUsTF42JejCImQ,"Lovely drinks and atmosphere but frequently insane wait times (even after being ""seated"" inside). Back in February, I waited around an hour to get in, then...",4.0
