id,RId,Text,Rating
NuVbxkDBwxMuDKe_ok-0LA,ElUpForhPlSTDrALAiH0kA,I visited 54thirty on a recent trip and stay at the Le Meridian and absolutely enjoyed this place. The staff was very friendly and helpful. They followed...,5.0
NuVbxkDBwxMuDKe_ok-0LA,YnDl8HmU0eGA7yCNaJnSxg,"Come here for drinks and the view
Font come here for fast seating and tons of menu options
Drinks: amazing!!! If you don't like it they'll make u a new one,...",4.0
NuVbxkDBwxMuDKe_ok-0LA,AoP9BDCBCY8eS0YRCr_i6g,"Great chic rooftop bar in downtown Denver. It is named 54thirty because they sit 5430 above sea level. With a view of the Rockies, this place is a great...",5.0
yuzp8qeNTuQBIHzKqYWXPw,GrBL9xmcNOoLpT83sy_YDQ,"A wonderful atmosphere that you don't find at places around it. Great patio, tons of TV's, big bar. The fries are thinner and therefore have a great crunch,...",4.0
yuzp8qeNTuQBIHzKqYWXPw,NiLyuLN1G5_7KTcLstGsXg,Came here with a group of 13 on a Saturday night--no reservation. We were seated without waiting (omg A+) and drinks were out within minutes. We all ordered...,5.0
yuzp8qeNTuQBIHzKqYWXPw,bliznx_rn-5A1J1KNaVGaA,"Meh. Okay we came here for Sunday brunch and I was overall unimpressed. From the cleanliness to the service to the food. We won't be returning. 

It's not...",2.0
FBqPcIryM6R-k1KV7WLwOw,sReNUFDRErwBX89xwoqZ-A,"This place was fantastic. The ambiance was wonderful, the food was delicious, and the drink menu was spectacular. The servers were very attentive but gave...",5.0
FBqPcIryM6R-k1KV7WLwOw,Nqk6wLbJdvk3QOFNEYmaRA,This place is phenomenal. The atmosphere is amazing and the drink menu is to die for. I've been here pre and during covid and they are doing an amazing job.,5.0
FBqPcIryM6R-k1KV7WLwOw,5MFc_guUIZriaZFugohlgg,"Pre Covid, this was a great place to grab drinks. It's a very cool and trendy atmosphere and a great spot for good craft cocktails and a date. I can't wait...",5.0
mtKncZdZPVtumo_zDBGDAA,Ydc1ZSizk05g9QjfR4j61A,"The food is amazing! Great way to refuel after a trip to the mountains. The atmosphere is very nice and relaxed, they even have Live music on Saturday...",5.0
mtKncZdZPVtumo_zDBGDAA,RiSadTc_egebb8kuheEkjw,We stumbled across this little dive bar last fall while on a road trip through the mountains and decided to check it out. Walking into this spot is like...,5.0
mtKncZdZPVtumo_zDBGDAA,l2o7hJrhjjXmODTjb3XhRA,The wife and I went on a wild adventure through the rainy Colorado mountains and crazy muddy dirt road on the Harley to get to this one of kind saloon last...,4.0
5Jy0ewQMmaKfhlHjTGfGcA,doTxQGZPZZtVDo6OIJJLHQ,They've got 8(!!!) different versions of french fries so what's not to like? Take out was quick and easy with one phone call and you can specify what time...,5.0
5Jy0ewQMmaKfhlHjTGfGcA,r0F--GW_3S8mcJuJq32PCQ,Great addition to the neighborhood! Crazy milkshakes and burgz. Lots of beer. Fries. Salads. TVs. What more can you ask for?,5.0
5Jy0ewQMmaKfhlHjTGfGcA,sE5lulvOVF4YPyaYTPqEZA,"Oh my!!! Like others have said, The 49th is doing COVID right. But before all this started I frequented this restaurant at least 2x a month for lunch. Now...",5.0
A1knCcfF__460LVsScHqBg,-vA-1uVBn9ntIc7TLWguTA,This place has stepped it up since my last review and is one of the few places that is doing to go correctly during the pandemic. I got the chicken sandwich...,5.0
